"Lab_number","State","Water_body","Location","Station_ID","Sample_Date","Sample_Year","Sample_Month","Veligers_Observed","Veligers_L","Microscopy_result","QuaggaMusselPCRType","ZebraMusselPCRType","DNASequencingResultType"
210104,"AZ","Canyon Lake","DAM  5-29 M","C-D",2021-03-04,"2021","March","1958","0.92333445503386979","Positive","Not Tested","Not Tested","Not Tested"
210105,"AZ","Canyon Lake","MARINA","C-M",2021-03-04,"2021","March","604","0.42724260278891019","Positive","Not Tested","Not Tested","Not Tested"
210210,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-04-20,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210211,"AZ","Bartlett Reservoir","DAM","B-D",2021-04-20,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210212,"AZ","Bartlett Reservoir","MARINA","B-M",2021-04-20,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210213,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2021-04-20,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210215,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-04-21,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210216,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-04-21,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210217,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-04-21,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210218,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-04-21,"2021","April","0","0","Negative","Negative","Negative","Not Tested"
210223,"AZ","Apache Lake","THREE MILE","A-TMI",2021-04-21,"2021","April","7","1.4147106052612918E-3","Positive","Not Tested","Not Tested","Not Tested"
210224,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-04-21,"2021","April","14","3.9611896947316172E-3","Positive","Not Tested","Not Tested","Not Tested"
210225,"AZ","Apache Lake","MARINA","A-M",2021-04-21,"2021","April","52","1.4712990294717435E-2","Positive","Not Tested","Not Tested","Not Tested"
210226,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-04-22,"2021","April","1","2.8294212105225839E-4","Positive","Not Tested","Not Tested","Not Tested"
210227,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2021-04-22,"2021","April","63","2.5464790894703253E-2","Positive","Not Tested","Not Tested","Not Tested"
210228,"AZ","Saguaro Lake","MARINA","S-MD",2021-04-22,"2021","April","3883","0.45777677335246636","Positive","Not Tested","Not Tested","Not Tested"
210229,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2021-04-22,"2021","April","114","4.031925224994682E-2","Positive","Not Tested","Not Tested","Not Tested"
210230,"AZ","Canyon Lake","BELOW DAM","C-BD",2021-04-22,"2021","April","392","0.22182662290497057","Positive","Not Tested","Not Tested","Not Tested"
210231,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2021-04-22,"2021","April","152","8.6014404799886549E-2","Positive","Not Tested","Not Tested","Not Tested"
210232,"AZ","Canyon Lake","DAM 0-4M","C-D",2021-04-22,"2021","April","6","4.2441318157838762E-3","Positive","Not Tested","Not Tested","Not Tested"
210233,"AZ","Canyon Lake","DAM 29-4M","C-D",2021-04-22,"2021","April","11860","1.3982056481999101","Positive","Not Tested","Not Tested","Not Tested"
210234,"AZ","Canyon Lake","MARINA","C-M",2021-04-22,"2021","April","25050","5.4520770248915937","Positive","Not Tested","Not Tested","Not Tested"
210319,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210320,"AZ","Bartlett Reservoir","DAM","B-D",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210321,"AZ","Bartlett Reservoir","MARINA","B-M",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210322,"AZ","Bartlett Reservoir","MAIN BOAT LAUNCH","B-MBL",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210323,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210324,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210325,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210326,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-05-18,"2021","May","0","0","Negative","Negative","Negative","Not Tested"
210327,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-05-19,"2021","May","14","Missing","Positive","Negative","Negative","Not Tested"
210328,"AZ","Apache Lake","Dam (0-5M)","A-D",2021-05-18,"2021","May","6","3.3953054526271007E-3","Positive","Not Tested","Not Tested","Not Tested"
210329,"AZ","Apache Lake","Dam (5-30M)","A-D",2021-05-18,"2021","May","643","0.36386356767320427","Positive","Not Tested","Not Tested","Not Tested"
210330,"AZ","Apache Lake","MARINA","A-M",2021-05-18,"2021","May","5100","1.4430048173665178","Positive","Not Tested","Not Tested","Not Tested"
210331,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-05-18,"2021","May","71","1.6740742162258619E-2","Positive","Not Tested","Not Tested","Not Tested"
210332,"AZ","Apache Lake","THREE MILE","A-TMI",2021-05-18,"2021","May","11","2.3941256396729552E-3","Positive","Not Tested","Not Tested","Not Tested"
210333,"AZ","Saguaro Lake","BOATER CAMPGROUND","S-BC",2021-05-19,"2021","May","1398","0.5650758360443674","Positive","Not Tested","Not Tested","Not Tested"
210334,"AZ","Saguaro Lake","MARINA","S-MD",2021-05-19,"2021","May","0","0","Negative","Not Tested","Not Tested","Not Tested"
210335,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2021-05-19,"2021","May","347","0.14025845143590523","Positive","Not Tested","Not Tested","Not Tested"
210336,"AZ","Canyon Lake","BELOW DAM","C-BD",2021-05-19,"2021","May","349","0.32915600082412722","Positive","Not Tested","Not Tested","Not Tested"
210337,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2021-05-19,"2021","May","17114","8.0704524328139158","Positive","Not Tested","Not Tested","Not Tested"
210338,"AZ","Canyon Lake","DAM 0-4M","C-D",2021-05-19,"2021","May","780","0.84882636315677518","Positive","Not Tested","Not Tested","Not Tested"
210339,"AZ","Canyon Lake","DAM 4-29M","C-D",2021-05-19,"2021","May","8830","9.6091497265055441","Positive","Not Tested","Not Tested","Not Tested"
210340,"AZ","Canyon Lake","MARINA","C-M",2021-05-19,"2021","May","7960","1.6087280596971263","Positive","Not Tested","Not Tested","Not Tested"
211124,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211125,"AZ","Bartlett Reservoir","DAM","B-D",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211126,"AZ","Bartlett Reservoir","MARINA","B-M",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
