"vars"
"mu_Chla_mg.L"
"mu_Pheophytin_mg.L"
"mu_Chla_Pheo_664.665a"
"mu_TDS_mg.L"
"mu_K_mg.L"
"mu_Ca_mg.L"
"mu_Alk_mg.L"
"mu_SO4_mg.L"
"mu_SiO2_mg.L"
"mu_F_mg.L"
"mu_TP_mg.L"
"mu_TN_mg.L"
"mu_Deg_C"
"mu_DO_mg.L"
